Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-2 | T0 disparada | Estado plazas: P0:2 P1:1 P2:0 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T6 disparada | Estado plazas: P0:2 P1:0 P2:42 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T0 disparada | Estado plazas: P0:1 P1:1 P2:42 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T11 disparada | Estado plazas: P0:2 P1:1 P2:42 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T0 disparada | Estado plazas: P0:1 P1:2 P2:42 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T1 disparada | Estado plazas: P0:1 P1:1 P2:43 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T5 disparada | Estado plazas: P0:1 P1:1 P2:43 P3:0 P4:0 P5:0 P6:1 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T0 disparada | Estado plazas: P0:0 P1:2 P2:43 P3:0 P4:0 P5:0 P6:1 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T1 disparada | Estado plazas: P0:0 P1:1 P2:44 P3:1 P4:0 P5:0 P6:1 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T6 disparada | Estado plazas: P0:0 P1:1 P2:44 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T5 disparada | Estado plazas: P0:0 P1:1 P2:44 P3:0 P4:0 P5:0 P6:1 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T6 disparada | Estado plazas: P0:0 P1:1 P2:44 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T11 disparada | Estado plazas: P0:1 P1:1 P2:44 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T0 disparada | Estado plazas: P0:0 P1:2 P2:44 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T11 disparada | Estado plazas: P0:1 P1:2 P2:44 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T1 disparada | Estado plazas: P0:1 P1:1 P2:45 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T2 disparada | Estado plazas: P0:1 P1:1 P2:45 P3:0 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T0 disparada | Estado plazas: P0:0 P1:2 P2:45 P3:0 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T1 disparada | Estado plazas: P0:0 P1:1 P2:46 P3:1 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T1 disparada | Estado plazas: P0:0 P1:0 P2:47 P3:2 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T5 disparada | Estado plazas: P0:0 P1:0 P2:47 P3:1 P4:1 P5:0 P6:1 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T2 disparada | Estado plazas: P0:0 P1:0 P2:47 P3:0 P4:2 P5:0 P6:1 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T6 disparada | Estado plazas: P0:0 P1:0 P2:47 P3:0 P4:2 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T3 disparada | Estado plazas: P0:0 P1:0 P2:47 P3:0 P4:1 P5:1 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T11 disparada | Estado plazas: P0:1 P1:0 P2:47 P3:0 P4:1 P5:1 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T3 disparada | Estado plazas: P0:1 P1:0 P2:47 P3:0 P4:0 P5:2 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T4 disparada | Estado plazas: P0:1 P1:0 P2:47 P3:0 P4:0 P5:1 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T0 disparada | Estado plazas: P0:0 P1:1 P2:47 P3:0 P4:0 P5:1 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T1 disparada | Estado plazas: P0:0 P1:0 P2:48 P3:1 P4:0 P5:1 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T4 disparada | Estado plazas: P0:0 P1:0 P2:48 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T7 disparada | Estado plazas: P0:0 P1:0 P2:48 P3:0 P4:0 P5:0 P6:0 P7:0 P8:1 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T11 disparada | Estado plazas: P0:1 P1:0 P2:48 P3:0 P4:0 P5:0 P6:0 P7:0 P8:1 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T8 disparada | Estado plazas: P0:1 P1:0 P2:48 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:1 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T9 disparada | Estado plazas: P0:1 P1:0 P2:48 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:1 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T0 disparada | Estado plazas: P0:0 P1:1 P2:48 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:1 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T10 disparada | Estado plazas: P0:0 P1:1 P2:48 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T1 disparada | Estado plazas: P0:0 P1:0 P2:49 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T2 disparada | Estado plazas: P0:0 P1:0 P2:49 P3:0 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T11 disparada | Estado plazas: P0:1 P1:0 P2:49 P3:0 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T3 disparada | Estado plazas: P0:1 P1:0 P2:49 P3:0 P4:0 P5:1 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T11 disparada | Estado plazas: P0:2 P1:0 P2:49 P3:0 P4:0 P5:1 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T4 disparada | Estado plazas: P0:2 P1:0 P2:49 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T0 disparada | Estado plazas: P0:1 P1:1 P2:49 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T0 disparada | Estado plazas: P0:0 P1:2 P2:49 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T11 disparada | Estado plazas: P0:1 P1:2 P2:49 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T1 disparada | Estado plazas: P0:1 P1:1 P2:50 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T1 disparada | Estado plazas: P0:1 P1:0 P2:51 P3:2 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T2 disparada | Estado plazas: P0:1 P1:0 P2:51 P3:1 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T0 disparada | Estado plazas: P0:0 P1:1 P2:51 P3:1 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T5 disparada | Estado plazas: P0:0 P1:1 P2:51 P3:0 P4:1 P5:0 P6:1 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T3 disparada | Estado plazas: P0:0 P1:1 P2:51 P3:0 P4:0 P5:1 P6:1 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T4 disparada | Estado plazas: P0:0 P1:1 P2:51 P3:0 P4:0 P5:0 P6:1 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T6 disparada | Estado plazas: P0:0 P1:1 P2:51 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T1 disparada | Estado plazas: P0:0 P1:0 P2:52 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T2 disparada | Estado plazas: P0:0 P1:0 P2:52 P3:0 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T11 disparada | Estado plazas: P0:1 P1:0 P2:52 P3:0 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T0 disparada | Estado plazas: P0:0 P1:1 P2:52 P3:0 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T3 disparada | Estado plazas: P0:0 P1:1 P2:52 P3:0 P4:0 P5:1 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T11 disparada | Estado plazas: P0:1 P1:1 P2:52 P3:0 P4:0 P5:1 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T4 disparada | Estado plazas: P0:1 P1:1 P2:52 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T11 disparada | Estado plazas: P0:2 P1:1 P2:52 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T1 disparada | Estado plazas: P0:2 P1:0 P2:53 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T0 disparada | Estado plazas: P0:1 P1:1 P2:53 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T0 disparada | Estado plazas: P0:0 P1:2 P2:53 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T2 disparada | Estado plazas: P0:0 P1:2 P2:53 P3:0 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T1 disparada | Estado plazas: P0:0 P1:1 P2:54 P3:1 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T3 disparada | Estado plazas: P0:0 P1:1 P2:54 P3:1 P4:0 P5:1 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T7 disparada | Estado plazas: P0:0 P1:1 P2:54 P3:0 P4:0 P5:1 P6:0 P7:0 P8:1 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T4 disparada | Estado plazas: P0:0 P1:1 P2:54 P3:0 P4:0 P5:0 P6:0 P7:0 P8:1 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T8 disparada | Estado plazas: P0:0 P1:1 P2:54 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:1 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T11 disparada | Estado plazas: P0:1 P1:1 P2:54 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:1 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T0 disparada | Estado plazas: P0:0 P1:2 P2:54 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:1 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T9 disparada | Estado plazas: P0:0 P1:2 P2:54 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:1 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T1 disparada | Estado plazas: P0:0 P1:1 P2:55 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:1 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T5 disparada | Estado plazas: P0:0 P1:1 P2:55 P3:0 P4:0 P5:0 P6:1 P7:0 P8:0 P9:0 P10:1 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T1 disparada | Estado plazas: P0:0 P1:0 P2:56 P3:1 P4:0 P5:0 P6:1 P7:0 P8:0 P9:0 P10:1 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T2 disparada | Estado plazas: P0:0 P1:0 P2:56 P3:0 P4:1 P5:0 P6:1 P7:0 P8:0 P9:0 P10:1 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T6 disparada | Estado plazas: P0:0 P1:0 P2:56 P3:0 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:1 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T10 disparada | Estado plazas: P0:0 P1:0 P2:56 P3:0 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T3 disparada | Estado plazas: P0:0 P1:0 P2:56 P3:0 P4:0 P5:1 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T4 disparada | Estado plazas: P0:0 P1:0 P2:56 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:3 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T11 disparada | Estado plazas: P0:1 P1:0 P2:56 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T11 disparada | Estado plazas: P0:2 P1:0 P2:56 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T11 disparada | Estado plazas: P0:3 P1:0 P2:56 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T0 disparada | Estado plazas: P0:2 P1:1 P2:56 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T0 disparada | Estado plazas: P0:1 P1:2 P2:56 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T0 disparada | Estado plazas: P0:0 P1:3 P2:56 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T1 disparada | Estado plazas: P0:0 P1:2 P2:57 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T1 disparada | Estado plazas: P0:0 P1:1 P2:58 P3:2 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T1 disparada | Estado plazas: P0:0 P1:0 P2:59 P3:3 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T2 disparada | Estado plazas: P0:0 P1:0 P2:59 P3:2 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T7 disparada | Estado plazas: P0:0 P1:0 P2:59 P3:1 P4:1 P5:0 P6:0 P7:0 P8:1 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T2 disparada | Estado plazas: P0:0 P1:0 P2:59 P3:0 P4:2 P5:0 P6:0 P7:0 P8:1 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T8 disparada | Estado plazas: P0:0 P1:0 P2:59 P3:0 P4:2 P5:0 P6:0 P7:0 P8:0 P9:1 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T3 disparada | Estado plazas: P0:0 P1:0 P2:59 P3:0 P4:1 P5:1 P6:0 P7:0 P8:0 P9:1 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T3 disparada | Estado plazas: P0:0 P1:0 P2:59 P3:0 P4:0 P5:2 P6:0 P7:0 P8:0 P9:1 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T9 disparada | Estado plazas: P0:0 P1:0 P2:59 P3:0 P4:0 P5:2 P6:0 P7:0 P8:0 P9:0 P10:1 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T10 disparada | Estado plazas: P0:0 P1:0 P2:59 P3:0 P4:0 P5:2 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T4 disparada | Estado plazas: P0:0 P1:0 P2:59 P3:0 P4:0 P5:1 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T4 disparada | Estado plazas: P0:0 P1:0 P2:59 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:3 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T11 disparada | Estado plazas: P0:1 P1:0 P2:59 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T0 disparada | Estado plazas: P0:0 P1:1 P2:59 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T1 disparada | Estado plazas: P0:0 P1:0 P2:60 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T11 disparada | Estado plazas: P0:1 P1:0 P2:60 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T2 disparada | Estado plazas: P0:1 P1:0 P2:60 P3:0 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T0 disparada | Estado plazas: P0:0 P1:1 P2:60 P3:0 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T1 disparada | Estado plazas: P0:0 P1:0 P2:61 P3:1 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T11 disparada | Estado plazas: P0:1 P1:0 P2:61 P3:1 P4:1 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T2 disparada | Estado plazas: P0:1 P1:0 P2:61 P3:0 P4:2 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T0 disparada | Estado plazas: P0:0 P1:1 P2:61 P3:0 P4:2 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T3 disparada | Estado plazas: P0:0 P1:1 P2:61 P3:0 P4:1 P5:1 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T3 disparada | Estado plazas: P0:0 P1:1 P2:61 P3:0 P4:0 P5:2 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T1 disparada | Estado plazas: P0:0 P1:0 P2:62 P3:1 P4:0 P5:2 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T4 disparada | Estado plazas: P0:0 P1:0 P2:62 P3:1 P4:0 P5:1 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T5 disparada | Estado plazas: P0:0 P1:0 P2:62 P3:0 P4:0 P5:1 P6:1 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T4 disparada | Estado plazas: P0:0 P1:0 P2:62 P3:0 P4:0 P5:0 P6:1 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T6 disparada | Estado plazas: P0:0 P1:0 P2:62 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:3 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T11 disparada | Estado plazas: P0:1 P1:0 P2:62 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T11 disparada | Estado plazas: P0:2 P1:0 P2:62 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T11 disparada | Estado plazas: P0:3 P1:0 P2:62 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T0 disparada | Estado plazas: P0:2 P1:1 P2:62 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T0 disparada | Estado plazas: P0:1 P1:2 P2:62 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T0 disparada | Estado plazas: P0:0 P1:3 P2:62 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T1 disparada | Estado plazas: P0:0 P1:2 P2:63 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-0 | T1 disparada | Estado plazas: P0:0 P1:1 P2:64 P3:2 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-2 | T7 disparada | Estado plazas: P0:0 P1:1 P2:64 P3:1 P4:0 P5:0 P6:0 P7:0 P8:1 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T2 disparada | Estado plazas: P0:0 P1:1 P2:64 P3:0 P4:1 P5:0 P6:0 P7:0 P8:1 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:25 ART 2026 | Hilo: Worker-1 | T1 disparada | Estado plazas: P0:0 P1:0 P2:65 P3:1 P4:1 P5:0 P6:0 P7:0 P8:1 P9:0 P10:0 P11:0 
